order_id,order_hour_of_day
2539329,8
2398795,7
473747,12
2254736,7
431534,15
3367565,7
550135,9
3108588,14
2295261,16
2550362,8
1187899,8
2168274,11
1501582,10
1901567,10
738281,10
1673511,11
1199898,9
3194192,12
788338,15
1718559,9
1447487,11
1402090,10
3186735,9
3268552,11
839880,10
1492625,11
1374495,14
444309,19
3002854,16
2037211,18
2710558,17
1972919,16
1839752,15
3225766,17
3160850,16
676467,16
521107,18
1402502,15
2774568,15
3343014,11
2030307,11
691089,15
94891,13
2557754,13
329954,12
2717275,12
1909121,16
2267326,18
157374,18
2196797,11
2086598,18
298250,16
998866,18
1528013,16
2565571,9
2402008,19
121053,18
1695742,10
3321109,18
1682003,18
1014379,15
776265,12
2507052,7
1396119,20
565870,15
3239072,14
1175028,15
3060817,13
3120740,16
2425840,13
23391,10
2984707,9
369015,12
2452257,9
525192,11
600894,0
2979257,8
2570360,0
880375,14
280530,17
2762092,14
1830137,12
1094988,10
1224907,14
68288,15
2115522,19
83395,15
1353310,20
1822501,19
2411567,11
1170872,11
2840752,10
1611810,13
2921164,11
790927,11
1468214,9
1376945,11
1483446,12
1247527,9
1916106,8
1057378,9
221248,9
1356845,20
2618231,12
2560699,11
2288946,21
19256,12
1378982,13
2363981,18
1906169,8
1757094,18
519471,17
2298068,22
1472646,14
1789302,13
1827621,21
2906263,18
3206747,8
1366559,14
1385564,8
1691859,8
2127409,8
2505309,10
3067644,8
2109666,9
1625325,21
1335295,5
2045336,9
3394109,5
2316178,19
2514324,13
3135826,12
2564002,12
714991,11
3317979,15
876095,11
2685110,11
3119091,17
887727,13
2570697,10
2600170,9
2883598,8
2332087,10
113728,10
2968173,9
3097485,9
1870022,16
1911383,11
2345592,11
2994589,13
2715276,9
487368,10
2161313,9
1273676,8
875885,13
1491849,20
2704482,14
3192400,14
2000615,14
1416320,13
1737705,13
1681401,10
2680214,10
3197376,14
3237467,17
2616505,17
2648319,13
2430354,15
2373492,13
900554,15
805025,15
912404,14
1389057,13
603534,17
2660930,16
1719551,12
601444,21
2956367,12
2508834,11
415389,13
3141030,12
603376,16
3069802,23
1683378,10
2795254,11
343199,17
1385847,10
3314059,9
697863,14
2148135,15
3327122,12
2760791,22
2553089,11
791858,12
2773605,13
674977,12
2831726,12
1385397,15
348137,16
3350883,11
2180313,10
2780889,18
3106101,17
1860960,19
3133044,16
1020460,16
441977,12
2461523,9
1321974,13
2293453,14
2208892,14
2808909,12
1973799,12
2474845,13
532817,17
2483716,4
86918,16
1735923,17
947722,10
157550,16
3408319,11
2741696,11
1980631,11
2625565,10
2698037,9
1166994,13
129152,14
62373,14
2984916,6
1716848,9
3288630,13
2592860,10
1573906,10
2102674,15
534401,9
2510446,11
1082944,9
3257456,9
774475,11
1953572,15
1674891,11
77791,9
1413723,10
1806047,9
1431584,9
2941505,13
1322450,8
1776467,8
497940,11
1735495,8
1996394,9
1110781,9
2097221,11
2057208,15
865324,13
3341737,12
1854765,12
2300537,7
144358,7
1219654,21
2922708,11
3393222,21
2327987,19
2455079,17
634494,9
1014994,15
3227049,19
2780464,12
194741,8
1766930,10
3090814,19
2647850,10
139655,6
1792521,14
8382,10
1902489,12
1072926,11
3402036,12
611214,20
1869748,16
1511050,21
2877797,10
118133,11
816714,8
1415679,8
3064712,20
1640680,8
3354579,17
3320181,14
2126098,16
2586085,11
1103927,8
1368577,10
2635041,9
196008,20
173172,16
965160,16
2610576,14
2994388,20
258751,19
1411408,15
3229714,15
2284750,11
1488077,10
1798774,20
2018734,9
2827207,15
2097636,13
2923351,11
2063028,9
3350048,14
135696,17
232721,17
2940603,14
361493,9
1662354,17
965677,8
2842504,13
1007361,15
2792524,9
1771198,14
1460681,15
3317805,13
3149167,15
3141790,11
1380784,11
1659155,17
1406911,9
3247231,14
2705360,16
1523605,9
3137551,15
900590,9
1060278,16
1149132,11
2729473,8
612679,13
3162630,15
338996,10
2305567,14
1311494,15
1641287,10
654294,14
1111867,16
1194452,14
3147283,10
1666812,15
2695034,15
129025,16
920968,14
2005447,10
1603399,16
3176698,14
3374715,10
2392592,10
1374792,14
1849805,15
225381,14
3037479,9
419099,10
3359528,14
1380270,10
1067581,14
3094422,14
933179,9
682914,15
1149184,9
65724,15
2244394,16
1025119,11
1559403,13
1615255,8
1201330,9
3146978,15
230851,13
771049,10
7099,10
2716757,15
804483,10
2325503,12
1832360,10
1560223,8
2999232,14
1250733,15
2569634,13
1225000,13
994572,14
2138705,14
264488,11
3276527,14
625018,8
568636,15
2546638,11
1837192,8
1573122,13
2614670,14
1138968,14
1589342,13
3331846,16
1782508,16
1432100,15
358148,12
2657750,17
2695156,16
1584053,15
1639907,17
2760669,7
1819575,19
1272493,17
279523,13
2810971,17
1481969,12
181977,13
979759,17
2070736,16
760273,13
1385910,17
1818037,15
2195945,14
1978052,15
1192143,16
2064090,11
875452,8
2657652,10
2999889,8
1207762,11
370715,11
1049206,12
2655002,13
685887,13
3167222,11
2865794,9
1062536,8
620971,8
3090640,13
3202175,11
2376709,11
1748639,13
1647841,11
3110252,11
375303,13
2156000,10
3169631,22
1645927,13
986094,11
2299885,19
137318,6
3333738,8
62370,13
2150649,11
695934,11
638062,12
2135842,13
2623412,16
1183257,16
1341128,13
1120389,11
3352995,12
1593000,8
2582407,7
673583,12
3035956,11
2951746,9
2258440,8
2647083,8
2231262,11
963053,11
813240,17
1765409,17
280888,9
134879,12
1275838,12
1709286,10
72626,9
1210985,23
3202221,13
2906103,14
2612991,16
1537903,19
3222866,17
2383661,15
1569834,7
1916863,14
1951139,11
2344038,15
698604,13
1269089,21
2562704,16
1136841,9
457048,20
2880466,16
1830981,10
3309528,18
1316279,17
2903057,16
707453,15
3285797,17
412111,18
240889,17
1602446,11
2472897,15
1626957,15
453864,14
2010389,17
278124,11
14400,18
1145961,19
746041,16
682472,15
3067639,12
2640464,17
479244,21
409708,15
423623,17
664952,8
2833188,9
1185674,9
2890966,12
2671410,17
1189699,7
2138456,10
669187,18
1460684,21
2795573,11
1719560,21
2693179,21
903277,12
2527665,9
2230383,19
793311,11
1032510,16
182125,12
2710884,12
1320132,8
327827,10
86313,12
1354506,1
2153671,14
2449761,14
484397,17
2568429,19
711999,19
1145920,14
1736749,18
2484696,11
712331,22
1740853,19
1394419,14
1751600,16
1854906,17
1179244,14
2615608,17
2326295,16
841710,16
3268585,13
1294288,15
1727614,16
1524161,13
2873174,10
1308004,11
1588002,11
1691300,12
1244041,14
718156,9
894015,10
795223,18
3204829,16
2980672,8
725451,0
2479273,13
3173750,9
2782479,12
971516,15
127769,17
524816,10
859009,19
1493525,12
2754717,16
882556,13
2570028,9
2309440,10
1469897,11
2621404,12
1132197,9
2640967,9
2215173,8
423262,10
1145465,9
2431024,8
252244,16
2111787,20
2838655,13
2196695,12
3083886,19
2032076,20
940313,10
1816335,15
19190,19
77399,9
2848715,18
1560102,19
232622,13
378457,10
521231,19
2019391,1
2315446,18
2083588,13
1602489,12
2204386,16
278626,15
3034563,13
2803975,11
606677,18
1530871,19
656728,11
634665,18
2412774,17
2580647,16
1630444,12
455561,17
2187180,12
3094389,15
2770903,12
1864787,11
1359969,7
462713,9
2699868,9
2436259,12
300892,20
784714,19
374526,20
1902833,8
2827745,10
3345812,16
31801,13
3102839,16
2539168,11
2518161,17
1406544,15
821110,12
398975,12
3198849,16
1538381,12
244623,12
2998652,16
1876837,13
1945511,14
2596585,16
1254066,15
2661433,17
2681913,9
2009771,16
1947848,20
2857489,16
1303645,15
2532123,13
2201188,10
1899315,22
2906490,22
1035233,16
3166874,13
2766710,9
501067,12
1643524,10
1657641,9
749250,11
795269,11
3067391,18
555834,22
2924697,18
1216869,9
2406693,19
3283823,14
1526098,16
1557694,12
379097,11
500437,15
1250641,11
519514,12
1363380,9
3131103,12
2197066,13
3201640,11
2756806,14
1905727,10
357849,13
1673791,14
1941871,11
1431607,10
935755,9
771250,18
218647,14
482971,11
1261865,10
2102570,8
1856643,15
2199859,10
505360,11
2829245,10
1077695,13
3067010,12
458687,17
536094,10
886814,11
1291785,13
1182191,7
2333885,10
3112215,11
3276486,12
2870447,11
623555,12
2443843,7
867561,22
2049647,11
2981401,11
2425696,15
1177903,7
2885215,10
3285176,9
1158241,16
131991,10
1237400,9
3014513,11
1368931,12
1076291,7
412136,11
1939933,10
3147929,8
2018336,11
1229178,10
3044151,9
3330597,11
642111,10
3205359,10
182020,13
636918,12
2670599,10
2236363,11
2757345,12
1915162,11
373535,11
3175017,10
309687,12
2740653,13
2107003,11
103726,9
1750084,9
1099991,14
1505429,14
2151817,14
2174416,14
2497897,9
1318871,10
1261384,10
2100631,11
580568,10
1680554,13
2428073,7
1551977,10
342306,11
1520353,10
2542086,9
944694,16
2906390,10
1838593,13
1268191,11
2331002,11
1122089,10
1498922,10
180919,8
3146572,13
2695875,10
1307894,9
1856103,13
1030102,9
3306717,10
2127348,13
1588305,8
1647290,16
3364570,19
2239092,17
227361,15
3088145,10
79015,19
1546110,22
3337837,18
2548338,19
1514655,16
142873,7
2008078,13
631226,16
3121842,10
2205320,9
862838,12
881725,9
939629,11
638726,11
1182951,12
378070,12
1376661,13
3084020,11
2326857,11
905479,10
1321441,0
640014,10
2983519,14
311292,12
2917598,12
2045952,11
2916715,0
3135095,16
51418,23
2143390,11
3167855,10
1339168,11
1630627,1
2413026,9
2648531,11
3184864,10
3249202,12
3336359,14
3066373,20
1840067,20
1893574,9
2861721,9
159678,8
3270096,19
2960216,18
2058687,15
3290450,22
1902195,9
2018396,14
1794598,22
1102893,23
1162211,11
3201675,11
1598289,11
1683909,11
692802,9
3137144,17
1967453,21
899785,8
3370941,23
1433019,12
910390,10
2340803,8
2101107,13
1000935,11
100777,11
3147262,13
496907,11
1107137,15
1743688,15
1404810,10
865967,13
1456703,23
3161832,13
75972,12
2004727,10
596690,11
1325316,23
2080943,14
2006658,17
3057843,7
3114269,13
2986671,15
1677021,13
2206148,13
39325,18
2654273,17
807593,8
2511442,18
1909697,11
1507154,9
1271686,18
976101,11
758679,16
1221340,8
1327957,10
2139271,8
1836190,9
13318,9
1381572,10
1435093,11
1456958,17
48293,7
2047997,15
1623693,21
435581,10
463436,1
1545777,22
2380545,6
839442,7
949025,11
1775331,10
2676852,5
320326,7
913794,14
692224,10
714002,15
1578027,17
164627,7
3097573,18
1089058,9
326173,10
1867561,10
2143792,11
139882,9
2830335,13
2023100,12
2144995,12
1976929,21
2128599,12
584586,15
1385031,10
2149689,10
3050891,12
2395967,9
1071381,10
2756878,11
2994801,11
1794276,21
1625716,8
1651215,12
2769226,20
1205618,14
291527,13
1783260,11
3224056,15
989260,14
2132947,18
1597833,11
1099519,22
817409,11
1839867,10
3160844,15
1713067,9
144494,10
2887267,0
964058,10
2163945,11
3349827,13
1376443,20
2655621,14
1275664,14
1812321,13
2512030,14
479208,12
1019719,12
2205298,20
2568280,9
1763414,14
3092533,11
414538,10
1538989,14
3077044,14
2644515,19
495013,10
973757,14
1225619,7
863243,13
226861,14
107377,8
2286777,12
390867,15
3140578,11
561303,12
1023723,16
2104282,14
2838026,9
1764004,14
3028801,12
2793873,13
2158097,5
1580628,17
383458,11
97480,8
3301134,18
2352518,12
1128333,17
1023454,13
586227,12
77449,12
1816750,12
2190355,12
2617055,9
1223316,14
443742,11
2989905,8
802141,14
2601258,10
2057180,22
2507322,17
33681,0
629726,20
2302602,20
3215917,17
2754807,15
3129760,10
2639013,13
